PLAYER_ID,PLAYER_NAME,actual_fg,expected_fg,attempts,tier,diff
1629639,Tyler Herro,0.4783216783216783,0.4484075334964282,715,middle,0.029914144825250122
201939,Stephen Curry,0.4495575221238938,0.4230394449303545,565,bottom,0.026518077193539324
1630169,Tyrese Haliburton,0.4440619621342513,0.41807650536473084,581,bottom,0.025985456769520465
203999,Nikola Jokić,0.5605442176870749,0.5406411195484393,735,top,0.019903098138635555
202696,Nikola Vučević,0.5578446909667195,0.5387603614232818,631,top,0.01908432954343775
201142,Kevin Durant,0.5212947189097104,0.5023356268760313,587,top,0.01895909203367907
201942,DeMar DeRozan,0.4790322580645161,0.46200198299375544,620,middle,0.01703027507076066
1627734,Domantas Sabonis,0.6049149338374291,0.5888630713592286,529,top,0.016051862478200563
1627736,Malik Beasley,0.42424242424242425,0.40898024575725295,561,bottom,0.015262178485171307
1628969,Mikal Bridges,0.4891304347826087,0.4759469494449462,644,middle,0.013183485337662504
