PLAYER_ID,actual_fg,expected_fg,attempts,tier,PLAYER_NAME,diff
1629628,0.46153846153846156,0.5090942184510575,611,middle,RJ Barrett,-0.04755575691259595
1630578,0.49149922720247297,0.5354403609321673,647,top,Alperen Sengun,-0.043941133729694326
1628384,0.4719710669077758,0.5060933953590151,553,middle,OG Anunoby,-0.0341223284512393
203076,0.5195783132530121,0.545536878178662,664,top,Anthony Davis,-0.025958564925649963
201935,0.39708265802269044,0.41615059804984905,617,bottom,James Harden,-0.019067940027158614
1630178,0.42445054945054944,0.44324779649097434,728,bottom,Tyrese Maxey,-0.018797247040424903
203944,0.4787052810902896,0.4946312334839396,587,middle,Julius Randle,-0.015925952393650022
1631114,0.47467438494934877,0.48951046083927485,691,middle,Jalen Williams,-0.014836075889926081
203507,0.6046831955922864,0.6192624075924433,726,top,Giannis Antetokounmpo,-0.014579212000156883
1631097,0.4634615384615385,0.4775847604861393,520,middle,Bennedict Mathurin,-0.014123222024600812
