PLAYER_ID,PLAYER_NAME,actual_fg,expected_fg,attempts,tier,diff
2544,LeBron James,0.5144157814871017,0.5099562457672165,659,top,0.0044595357198851104
201142,Kevin Durant,0.5212947189097104,0.5023356268760313,587,top,0.01895909203367907
201935,James Harden,0.39708265802269044,0.40915565425597533,617,bottom,-0.012072996233284894
201939,Stephen Curry,0.4495575221238938,0.4230394449303545,565,bottom,0.026518077193539324
201942,DeMar DeRozan,0.4790322580645161,0.46200198299375544,620,middle,0.01703027507076066
202681,Kyrie Irving,0.4812286689419795,0.47498211343955515,586,middle,0.006246555502424367
202696,Nikola Vučević,0.5578446909667195,0.5387603614232818,631,top,0.01908432954343775
203076,Anthony Davis,0.5195783132530121,0.5429172215323395,664,top,-0.023338908279327386
203081,Damian Lillard,0.44939965694682676,0.4470980783521009,583,bottom,0.0023015785947258505
203507,Giannis Antetokounmpo,0.6046831955922864,0.6248480130133609,726,top,-0.020164817421074455
203897,Zach LaVine,0.5132192846034215,0.5218704656613495,643,top,-0.008651181057928059
203944,Julius Randle,0.4787052810902896,0.4977291648560683,587,middle,-0.019023883765778682
203999,Nikola Jokić,0.5605442176870749,0.5406411195484393,735,top,0.019903098138635555
1626157,Karl-Anthony Towns,0.5504,0.5604070538012724,625,top,-0.010007053801272425
1626164,Devin Booker,0.4410029498525074,0.4323682559490361,678,bottom,0.008634693903471269
1626181,Norman Powell,0.4929078014184397,0.48906557873403966,564,top,0.003842222684400043
1627734,Domantas Sabonis,0.6049149338374291,0.5888630713592286,529,top,0.016051862478200563
1627736,Malik Beasley,0.42424242424242425,0.40898024575725295,561,bottom,0.015262178485171307
1627750,Jamal Murray,0.4539249146757679,0.4426602827848032,586,middle,0.011264631890964716
1627759,Jaylen Brown,0.44879518072289154,0.46331369352357604,664,bottom,-0.014518512800684502
1627783,Pascal Siakam,0.5226917057902973,0.5187377702789973,639,top,0.003953935511300077
1628368,De'Aaron Fox,0.4794344473007712,0.4840280913714044,778,middle,-0.004593644070633174
1628369,Jayson Tatum,0.45870393900889456,0.45663474054037245,787,middle,0.0020691984685221043
1628378,Donovan Mitchell,0.44585091420534456,0.44012046363867463,711,bottom,0.005730450566669931
1628384,OG Anunoby,0.4719710669077758,0.5012829491838342,553,middle,-0.02931188227605841
1628969,Mikal Bridges,0.4891304347826087,0.4759469494449462,644,middle,0.013183485337662504
1628973,Jalen Brunson,0.48382923673997413,0.48310012139890285,773,middle,0.0007291153410712847
1628983,Shai Gilgeous-Alexander,0.5320886814469078,0.526531193913614,857,top,0.00555748753329377
1628991,Jaren Jackson Jr.,0.4903129657228018,0.4932348063096445,671,middle,-0.0029218405868426944
1629008,Michael Porter Jr.,0.5142348754448398,0.5023981376860198,562,top,0.011836737758819993
1629012,Collin Sexton,0.4803001876172608,0.4822400611653909,533,middle,-0.0019398735481301332
1629014,Anfernee Simons,0.4195205479452055,0.42324748556815667,584,bottom,-0.0037269376229511764
1629027,Trae Young,0.4033232628398791,0.4132678324073603,662,bottom,-0.009944569567481187
1629628,RJ Barrett,0.46153846153846156,0.5033652791475145,611,middle,-0.041826817609052935
1629632,Coby White,0.4368421052631579,0.45407143109373316,570,bottom,-0.017229325830575237
1629636,Darius Garland,0.4991735537190083,0.49841662894618577,605,top,0.0007569247728225204
1629639,Tyler Herro,0.4783216783216783,0.4484075334964282,715,middle,0.029914144825250122
1629661,Cameron Johnson,0.5,0.4933285449117518,440,top,0.006671455088248179
1629673,Jordan Poole,0.43169398907103823,0.4307599110650558,549,bottom,0.0009340780059824416
1630162,Anthony Edwards,0.44366197183098594,0.4425831783096687,852,bottom,0.001078793521317234
1630163,LaMelo Ball,0.42201834862385323,0.41903697632512943,654,bottom,0.0029813722987238056
1630169,Tyrese Haliburton,0.4440619621342513,0.41807650536473084,581,bottom,0.025985456769520465
1630178,Tyrese Maxey,0.42445054945054944,0.4422708099144453,728,bottom,-0.017820260463895843
1630224,Jalen Green,0.4376770538243626,0.4435069069217992,706,bottom,-0.00582985309743661
1630578,Alperen Sengun,0.49149922720247297,0.5339970390838231,647,top,-0.042497811881350156
1630595,Cade Cunningham,0.44993498049414826,0.44776868510021567,769,bottom,0.0021662953939325935
1630596,Evan Mobley,0.572938689217759,0.5909140003333085,473,top,-0.017975311115549508
1631097,Bennedict Mathurin,0.4634615384615385,0.47548344141710236,520,middle,-0.012021902955563879
1631114,Jalen Williams,0.47467438494934877,0.4855841517041736,691,middle,-0.010909766754824857
1641705,Victor Wembanyama,0.47283406754772395,0.4633632563537476,681,middle,0.009470811193976358
